,tweet_id,created_at,text,location,clean_tweet
17,1587886718488805377,2022-11-02 19:17:49+00:00,Elon how do I get my Twitter stock back ? This company is on fire 🔥 #Elon #ELONMUSK #IWantIn #TWTR,112086946,"['elon', 'get', 'twitter', 'stock', 'back', 'compani', 'fire', '🔥', 'elon', 'elonmusk', 'iwantin', 'twtr']"
18,1587877562239229952,2022-11-02 18:41:26+00:00,SPY broke down rising wedge and retested it. Going down $TSLA $FB $AMD $COIN $NFLX $SHOP $AMZN $SQ $DOCU $INTC $TWTR $SNAP $MSFT $SPY $QQQ $GOOGL $AAPL $ROKU $SPX #TSLA #FB #AMD #COIN #NFLX #SHOP #AMZN #SQ #DOCU #INTC #TWTR #SNAP #MSFT #SPY #QQQ #GOOGL #AAPL #ROKU #SPX https://t.co/nx9iYPWDkh,1307454455202213888,"['spi', 'broke', 'rise', 'wedg', 'retest', 'go', 'tsla', 'fb', 'amd', 'coin', 'nflx', 'shop', 'amzn', 'sq', 'docu', 'intc', 'twtr', 'snap', 'msft', 'spi', 'qqq', 'googl', 'aapl', 'roku', 'spx', 'tsla', 'fb', 'amd', 'coin', 'nflx', 'shop', 'amzn', 'sq', 'docu', 'intc', 'twtr', 'snap', 'msft', 'spi', 'qqq', 'googl', 'aapl', 'roku', 'spx']"
19,1587859947848716288,2022-11-02 17:31:27+00:00,What's next for Twitter now that ELON MUSK IS IN CHARGE ? https://t.co/W76EqJLjG1 via @YouTube #moneyme #elonmusk #twitterstock #twtr https://t.co/pHAc7bPIPf,914633527454519301,"[""what'"", 'next', 'twitter', 'elon', 'musk', 'charg', 'via', 'moneym', 'elonmusk', 'twitterstock', 'twtr']"
20,1587852026138230785,2022-11-02 16:59:58+00:00,DOGE Pumping While BTC DUMPS? | HEDGE Your Bets! | ASK ME ANYTHNG! #cryptopassiveincome #wolferfinance #presend #doge #dogecoin #elon #twitter #twtr #elonmusk #elondoge https://t.co/Ez6uoHV3ob,1526225437638156288,"['doge', 'pump', 'btc', 'dump', 'hedg', 'bet', 'ask', 'anythng', 'cryptopassiveincom', 'wolferfin', 'presend', 'doge', 'dogecoin', 'elon', 'twitter', 'twtr', 'elonmusk', 'elondog']"
21,1587848676487069697,2022-11-02 16:46:39+00:00,"RT @GOK_HAN_38: #GLCVY 
#tsla #aapl #nvda #twtr #msft #amzn #amd #googl #fb #wfc #sapg #lini #alvg #baygn #vowg_p #SIEGn #MBGn #DTEGn #BASF…",1096780117689462785,"['glcvi', 'tsla', 'aapl', 'nvda', 'twtr', 'msft', 'amzn', 'amd', 'googl', 'fb', 'wfc', 'sapg', 'lini', 'alvg', 'baygn', 'vowg_p', 'siegn', 'mbgn', 'dtegn', 'basf', '…']"
22,1587820906495311877,2022-11-02 14:56:19+00:00,"Peak Capital Trading $SPY Analysis 11/02/2022

#TSLA #TWTR #MSFT #AAPL #QQQ #AMZN #GOOGL #META #NFLX #trading #OptionsTrading #stocks https://t.co/R9fbsL119P",1445546997885247498,"['peak', 'capit', 'trade', 'spi', 'analysi', '11/02', '2022', 'tsla', 'twtr', 'msft', 'aapl', 'qqq', 'amzn', 'googl', 'meta', 'nflx', 'trade', 'optionstrad', 'stock']"
23,1587813063360643072,2022-11-02 14:25:09+00:00,"Ya me compro mis acciones el Elon, ya no tengo #TWTR 😱",963988919225380866,"['ya', 'compro', 'mi', 'accion', 'el', 'elon', 'ya', 'tengo', 'twtr', '😱']"
24,1587798652914782208,2022-11-02 13:27:53+00:00,"error: Could not find data for the requested security: #TWTR #SOFI 

#Twitter #Stock currently not available https://t.co/sx27BsUWaw",1579910116530597888,"['error', 'could', 'find', 'data', 'request', 'secur', 'twtr', 'sofi', 'twitter', 'stock', 'current', 'avail']"
25,1587797542267486217,2022-11-02 13:23:28+00:00,"RT @GoodWildandFree: #StockMarket #AMC #GME #SPY #TSLA #TWTR #stocks 

JIM CRAMER CRIES LIVE| AMC &amp; THE MARKETS BEFORE TOMORROW https://t.c…",1400255374985515008,"['stockmarket', 'amc', 'gme', 'spi', 'tsla', 'twtr', 'stock', 'jim', 'cramer', 'cri', 'live', 'amc', 'market', 'tomorrow']"
26,1587791295220973570,2022-11-02 12:58:39+00:00,RT @cusickgallery: CG Mod Kathy had the pleasure of watching Ian as McCabe on the big screen at #SDFF last night. She got to meet one of ou…,243180009,"['cg', 'mod', 'kathi', 'pleasur', 'watch', 'ian', 'mccabe', 'big', 'screen', 'sdff', 'last', 'night', 'got', 'meet', 'one', 'ou', '…']"
27,1587780971037851651,2022-11-02 12:17:37+00:00,"@garyblack00 @elonmusk What is the personal #SNR?  The signal is the meaningful information that you're actually trying to detect. The noise is the random, unwanted variation or fluctuation that interferes with the signal.  #SNR would allow each to tailor #TWTR to maximize our desired max possible DB!",27432486,"['person', 'snr', 'signal', 'meaning', 'inform', 'actual', 'tri', 'detect', 'nois', 'random', 'unwant', 'variat', 'fluctuat', 'interfer', 'signal', 'snr', 'would', 'allow', 'tailor', 'twtr', 'maxim', 'desir', 'max', 'possibl', 'db']"
28,1587780840318271488,2022-11-02 12:17:06+00:00,"@garyblack00 @elonmusk There are many signals each of us can choose to tune into from this #TWTR ether.  Life is short and wasting time on the negative “noise signals” adds little to a rich life.  A #TWTR feature of a personal #SNR configuration setting is needed.  @elonmusk @DavidSacks. 

What is it?",27432486,"['mani', 'signal', 'us', 'choos', 'tune', 'twtr', 'ether', 'life', 'short', 'wast', 'time', 'neg', '“', 'nois', 'signal', '”', 'add', 'littl', 'rich', 'life', 'twtr', 'featur', 'person', 'snr', 'configur', 'set', 'need', '.   .']"
29,1587761644230385665,2022-11-02 11:00:49+00:00,"@davidhogg111 @elonmusk @DavidSacks What is the personal #SNR?  The signal is the meaningful information that you're actually trying to detect. The noise is the random, unwanted variation or fluctuation that interferes with the signal.  #SNR would allow each to tailor #TWTR to maximize our desired max possible DB!",27432486,"['person', 'snr', 'signal', 'meaning', 'inform', 'actual', 'tri', 'detect', 'nois', 'random', 'unwant', 'variat', 'fluctuat', 'interfer', 'signal', 'snr', 'would', 'allow', 'tailor', 'twtr', 'maxim', 'desir', 'max', 'possibl', 'db']"
30,1587761243900837888,2022-11-02 10:59:14+00:00,@davidhogg111 There are many signals each of us can choose to tune into from this #TWTR ether.  Life is short and wasting time on the negative “noise signals” adds little to a rich life.  A #TWTR feature of a personal #SNR configuration setting is needed.  @elonmusk @DavidSacks.,27432486,"['mani', 'signal', 'us', 'choos', 'tune', 'twtr', 'ether', 'life', 'short', 'wast', 'time', 'neg', '“', 'nois', 'signal', '”', 'add', 'littl', 'rich', 'life', 'twtr', 'featur', 'person', 'snr', 'configur', 'set', 'need', '.   .']"
31,1587756453342969857,2022-11-02 10:40:12+00:00,RT @CloudAtlas_47: @jwhoopes2 The Richest man to have ever lived in the history of the world with $223.8 Billion Dollars preferred to own t…,2476658245,"['richest', 'man', 'ever', 'live', 'histori', 'world', '223.8', 'billion', 'dollar', 'prefer', '…']"
32,1587755635701161985,2022-11-02 10:36:57+00:00,Elon Musk said he was planning to launch an $8-a-month subscription for “verified” Twitter users. #TWTR,45646679,"['elon', 'musk', 'said', 'plan', 'launch', '8', 'a-month', 'subscript', '“', 'verifi', '”', 'twitter', 'user', 'twtr']"
33,1587754642628386816,2022-11-02 10:33:00+00:00,"https://t.co/axImcds5gQ
Con 44 miliardi Elon Musk porta a casa la società Twitter, cambiamenti in arrivo nella piattaforma, licenziati il CEO e CfO della società.

 #edumargin #edumarginpost #article  #Twitter #twitterceo #stock #stockmarket #NASDAQ #nasdaq #performance #TWTR",1366014308182810624,"['con', '44', 'miliardi', 'elon', 'musk', 'porta', 'casa', 'la', 'società', 'twitter', 'cambiamenti', 'arrivo', 'nella', 'piattaforma', 'licenziati', 'il', 'ceo', 'e', 'cfo', 'della', 'società', 'edumargin', 'edumarginpost', 'articl', 'twitter', 'twitterceo', 'stock', 'stockmarket', 'nasdaq', 'nasdaq', 'perform', 'twtr']"
34,1587753402594902017,2022-11-02 10:28:04+00:00,"@catturd2 @elonmusk @DavidSacks What is the personal #SNR?  The signal is the meaningful information that you're actually trying to detect. The noise is the random, unwanted variation or fluctuation that interferes with the signal.  #SNR would allow each to tailor #TWTR to maximize our desired max possible DB!",27432486,"['person', 'snr', 'signal', 'meaning', 'inform', 'actual', 'tri', 'detect', 'nois', 'random', 'unwant', 'variat', 'fluctuat', 'interfer', 'signal', 'snr', 'would', 'allow', 'tailor', 'twtr', 'maxim', 'desir', 'max', 'possibl', 'db']"
35,1587752742663102465,2022-11-02 10:25:27+00:00,@catturd2 There are many signals each of us can choose to tune into from this #TWTR ether.  Life is short and wasting time on the negative “noise signals” adds little to a rich life.  A #TWTR feature of a personal #SNR configuration setting is needed.  @elonmusk @DavidSacks,27432486,"['mani', 'signal', 'us', 'choos', 'tune', 'twtr', 'ether', 'life', 'short', 'wast', 'time', 'neg', '“', 'nois', 'signal', '”', 'add', 'littl', 'rich', 'life', 'twtr', 'featur', 'person', 'snr', 'configur', 'set', 'need']"
36,1587751218398593024,2022-11-02 10:19:24+00:00,@nanagabynka Гения му се крие в това да го направи печеливш от губещ - няколко милиона на 3-месечие. Залагам че ще успее но не бих си преместил парите от #TSLA  в #TWTR.,3206102559,"['гения', 'му', 'се', 'крие', 'в', 'това', 'да', 'го', 'направи', 'печеливш', 'от', 'губещ', 'няколко', 'милиона', 'на', '3', 'месечие', 'залагам', 'че', 'ще', 'успее', 'но', 'не', 'бих', 'си', 'преместил', 'парите', 'от', 'tsla', 'в', 'twtr']"
37,1587749735607463936,2022-11-02 10:13:30+00:00,"Tweet From Elon Musk Leads to Dogecoin Surge

Read More:  https://t.co/gG049cy3Do 

#ElonMusk #Dogecoin #Twitter #TWTR #cryptocurrencyDogecoin #news #newsoftheday https://t.co/ygQd3qW2nY",1022425941673357312,"['tweet', 'elon', 'musk', 'lead', 'dogecoin', 'surg', 'read', 'elonmusk', 'dogecoin', 'twitter', 'twtr', 'cryptocurrencydogecoin', 'news', 'newsoftheday']"
38,1587722736184528896,2022-11-02 08:26:13+00:00,#TWTR https://t.co/RnGxDKkk9Z https://t.co/QNi2vDoRxv,1396748415594373120,['twtr']
39,1587714817372061696,2022-11-02 07:54:45+00:00,"Do you think Elon taking over changes things? More restrictive? More vetting? 

Glad to be out of that stock! #TWTR 

But watching it closely, after changing hands-all about monetization!",1149449065203163136,"['think', 'elon', 'take', 'chang', 'thing', 'restrict', 'vet', 'glad', 'stock', 'twtr', 'watch', 'close', 'chang', 'hands-al', 'monet']"
40,1587703174877642752,2022-11-02 07:08:29+00:00,"RT @targetstruc: check out our #youtubeshorts of what we do on #site at #work 
https://t.co/G0SOjI8oIv

#constructionindustry #construction…",1007518859979579392,"['check', 'youtubeshort', 'site', 'work', 'constructionindustri', 'construct', '…']"
41,1587701927676190720,2022-11-02 07:03:32+00:00,"RT @GOK_HAN_38: #GLCVY 
#tsla #aapl #nvda #twtr #msft #amzn #amd #googl #fb #wfc #sapg #lini #alvg #baygn #vowg_p #SIEGn #MBGn #DTEGn #BASF…",1516765062979100675,"['glcvi', 'tsla', 'aapl', 'nvda', 'twtr', 'msft', 'amzn', 'amd', 'googl', 'fb', 'wfc', 'sapg', 'lini', 'alvg', 'baygn', 'vowg_p', 'siegn', 'mbgn', 'dtegn', 'basf', '…']"
42,1587701548762759168,2022-11-02 07:02:01+00:00,"RT @GOK_HAN_38: #GLCVY 
#tsla #aapl #nvda #twtr #msft #amzn #amd #googl #fb #wfc #sapg #lini #alvg #baygn #vowg_p #SIEGn #MBGn #DTEGn #BASF…",1359530286678212619,"['glcvi', 'tsla', 'aapl', 'nvda', 'twtr', 'msft', 'amzn', 'amd', 'googl', 'fb', 'wfc', 'sapg', 'lini', 'alvg', 'baygn', 'vowg_p', 'siegn', 'mbgn', 'dtegn', 'basf', '…']"
43,1587701308341059585,2022-11-02 07:01:04+00:00,"RT @targetstruc: check out our #youtubeshorts of what we do on #site at #work 
https://t.co/G0SOjI8oIv

#constructionindustry #construction…",1460331644481646592,"['check', 'youtubeshort', 'site', 'work', 'constructionindustri', 'construct', '…']"
44,1587698902492450816,2022-11-02 06:51:31+00:00,"RT @GOK_HAN_38: #GLCVY 
#tsla #aapl #nvda #twtr #msft #amzn #amd #googl #fb #wfc #sapg #lini #alvg #baygn #vowg_p #SIEGn #MBGn #DTEGn #BASF…",1084821296968552448,"['glcvi', 'tsla', 'aapl', 'nvda', 'twtr', 'msft', 'amzn', 'amd', 'googl', 'fb', 'wfc', 'sapg', 'lini', 'alvg', 'baygn', 'vowg_p', 'siegn', 'mbgn', 'dtegn', 'basf', '…']"
45,1587697994811543552,2022-11-02 06:47:54+00:00,"RT @targetstruc: check out our #youtubeshorts of what we do on #site at #work 
https://t.co/G0SOjI8oIv

#constructionindustry #construction…",3317040702,"['check', 'youtubeshort', 'site', 'work', 'constructionindustri', 'construct', '…']"
46,1587697835113418752,2022-11-02 06:47:16+00:00,"RT @GOK_HAN_38: #GLCVY 
#tsla #aapl #nvda #twtr #msft #amzn #amd #googl #fb #wfc #sapg #lini #alvg #baygn #vowg_p #SIEGn #MBGn #DTEGn #BASF…",1510686178311389200,"['glcvi', 'tsla', 'aapl', 'nvda', 'twtr', 'msft', 'amzn', 'amd', 'googl', 'fb', 'wfc', 'sapg', 'lini', 'alvg', 'baygn', 'vowg_p', 'siegn', 'mbgn', 'dtegn', 'basf', '…']"
47,1587694503649021952,2022-11-02 06:34:02+00:00,"RT @targetstruc: check out our #youtubeshorts of what we do on #site at #work 
https://t.co/G0SOjI8oIv

#constructionindustry #construction…",1279492069560668165,"['check', 'youtubeshort', 'site', 'work', 'constructionindustri', 'construct', '…']"
48,1587694451920498688,2022-11-02 06:33:49+00:00,"RT @targetstruc: check out our #youtubeshorts of what we do on #site at #work 
https://t.co/G0SOjI8oIv

#constructionindustry #construction…",437406485,"['check', 'youtubeshort', 'site', 'work', 'constructionindustri', 'construct', '…']"
49,1587694414117363713,2022-11-02 06:33:40+00:00,"check out our #youtubeshorts of what we do on #site at #work 
https://t.co/G0SOjI8oIv

#constructionindustry #constructionworker #power #tools #CuttingEdge #SlowMo #Motivation #wednesdaythought #WednesdayMotivation #EarlyRisersClub #ImACeleb #designthinking #film #Creator #twtr https://t.co/icQAKlmXKJ",921291904658100224,"['check', 'youtubeshort', 'site', 'work', 'constructionindustri', 'constructionwork', 'power', 'tool', 'cuttingedg', 'slowmo', 'motiv', 'wednesdaythought', 'wednesdaymotiv', 'earlyrisersclub', 'imaceleb', 'designthink', 'film', 'creator', 'twtr']"
50,1587693904916369409,2022-11-02 06:31:39+00:00,"#GLCVY 
#tsla #aapl #nvda #twtr #msft #amzn #amd #googl #fb #wfc #sapg #lini #alvg #baygn #vowg_p #SIEGn #MBGn #DTEGn #BASFN #DBKGn #SHEL #HSBA #BATS https://t.co/895PQiyyfB",1515588900340871170,"['glcvi', 'tsla', 'aapl', 'nvda', 'twtr', 'msft', 'amzn', 'amd', 'googl', 'fb', 'wfc', 'sapg', 'lini', 'alvg', 'baygn', 'vowg_p', 'siegn', 'mbgn', 'dtegn', 'basfn', 'dbkgn', 'shel', 'hsba', 'bat']"
51,1587689195631427585,2022-11-02 06:12:56+00:00,"RT @Press_Reach: Twitter $TWTR Stock Suspended As #Musk Closes $44 Billion Transaction📊

https://t.co/JF790AMPe4

#Twitter #TWTR #Stocks #S…",98000929,"['twitter', 'twtr', 'stock', 'suspend', 'musk', 'close', '44', 'billion', 'transact', '📊', 'twitter', 'twtr', 'stock', '…']"
52,1587683386927226881,2022-11-02 05:49:51+00:00,#TWTR is making Crypto use case https://t.co/YzI4ZwK6ZU,1403043279503908869,"['twtr', 'make', 'crypto', 'use', 'case']"
53,1587683168685105154,2022-11-02 05:48:59+00:00,"RT @BnbCryptoLover: Now that @ElonMusk has officially acquired Twitter (#TWTR), the price of #Dogecoin (#DOGE 15.46%) is pumping. It was up…",1584901396863897605,"['offici', 'acquir', 'twitter', 'twtr', 'price', 'dogecoin', 'doge', '15.46', 'pump', '…']"
54,1587671427536257024,2022-11-02 05:02:20+00:00,"🇺🇸#DOGE #TWTR #крипто 
сделка Маск -Twitter возродила огромный интерес толпы к DOGE. Курс монеты и кол-во обсуждений резко выросли, а Маск продолжает пампить монету своими твитами ранее Маск заявлял, что рассматривает возможность ввести платежи в DOGE в Twitter",1478769766319992832,"['🇺', '🇸', 'doge', 'twtr', 'крипто', 'сделка', 'маск', 'twitter', 'возродила', 'огромный', 'интерес', 'толпы', 'к', 'doge', 'курс', 'монеты', 'и', 'кол-во', 'обсуждений', 'резко', 'выросли', 'а', 'маск', 'продолжает', 'пампить', 'монету', 'своими', 'твитами', 'ранее', 'маск', 'заявлял', 'что', 'рассматривает', 'возможность', 'ввести', 'платежи', 'в', 'doge', 'в', 'twitter']"
